Precio (ARS),Marca,Modelo,Versión,Año,KM,Color,Combustible,Puertas,Transmisión,Motor,Carrocería,Ubicación,Cilindrada
8397100,Ford,Focus III,1.6 Sedan S,2019,87000,Blanco,Nafta/GNC,4,Manual,1.6,Sedán,Capital Federal - Capital Federal,1.6
18900000,Chevrolet,Tracker,1.8 Ltz+,2017,98000,Gris,Nafta,5,Automática,1.8,SUV,Capital Federal - Capital Federal,1.8
39680000,Audi,TT,1.8 20v Turbo,2003,162000,Gris,Nafta,2,Manual,1.8,Coupé,Avellaneda - Bs.As. G.B.A. Sur,1.8
15996000,Peugeot,208,1.5 Active,2018,60000,Gris,Nafta,5,Manual,1.5,Hatchback,San Isidro - Bs.As. G.B.A. Norte,1.5
28520000,Ford,Mondeo,2.0 Titanium Ecoboost At 240cv,2018,90685,Gris,Nafta,4,Automática,2.0,Sedán,San Fernando - Bs.As. G.B.A. Norte,2.0
16900000,Peugeot,308,1.6 Gti Thp 200cv,2012,50000,Negro,Nafta,5,Manual,1.6,Hatchback,San Isidro - Bs.As. G.B.A. Norte,1.6
14850000,Renault,Sandero Stepway,1.6 Privilege 105cv,2016,98000,Blanco,Nafta,5,Manual,1.6,Hatchback,Lomas De Zamora - Bs.As. G.B.A. Sur,1.6
32000000,Toyota,Corolla,1.8 Hev Seg Ecvt,2022,48000,Blanco,Híbrido/Nafta,4,Automática,1.8,Sedán,Capital Federal - Capital Federal,1.8
25500000,Toyota,Etios,1.5 Xls At,2023,36000,Gris,Nafta,5,Automática,1.5,Hatchback,Capital Federal - Capital Federal,1.5
13761000,Jeep,Renegade,1.8 Sport At Plus,2021,98000,Negro,Nafta,5,Automática,1.8,SUV,Capital Federal - Capital Federal,1.8
17360000,Ford,Focus III,2.0 Titanium At6,2017,200000,Negro,Nafta,5,Automática,2.0,Hatchback,Vicente López - Bs.As. G.B.A. Norte,2.0
33400000,Ford,Territory,1.5t Sel,2021,53000,Blanco,Nafta,5,Automática,1.5,SUV,Lomas De Zamora - Bs.As. G.B.A. Sur,1.5
27200000,Fiat,Toro,2.0 Volcano 4x4 At Pack Premium,2018,100000,Blanco,Diésel,4,Automática,2.0,Pick-Up,Lomas De Zamora - Bs.As. G.B.A. Sur,2.0
12648000,Peugeot,308,1.6 Allure,2013,136000,Gris,Nafta,5,Manual,1.6,Hatchback,Vicente López - Bs.As. G.B.A. Norte,1.6
33356000,Chevrolet,Equinox,1.5t Premier 4wd,2019,43000,Plateado,Nafta,5,Automática,1.5,SUV,Capital Federal - Capital Federal,1.5
35900000,Peugeot,3008,1.6 Gt-line Thp Tiptronic,2020,58905,Gris,Nafta,5,Automática,1.6,SUV,Pilar - Bs.As. G.B.A. Norte,1.6
35900000,Peugeot,3008,1.6 Gt-line Thp Tiptronic,2020,58000,Gris,Nafta,5,Automática,1.6,SUV,Pilar - Bs.As. G.B.A. Norte,1.6
26040000,Nissan,Kicks,1.6 Exclusive Cvt,2018,97000,Gris,Nafta,5,Automática,1.6,SUV,Vicente López - Bs.As. G.B.A. Norte,1.6
48000000,Toyota,Hilux SW4,2.8 Srx 177cv 4x4 7as At,2020,106000,Negro,Diésel,5,Automática,2.8,SUV,Capital Federal - Capital Federal,2.8
14900000,Toyota,Etios,1.5 Sedan Xls,2016,109000,Negro,Nafta,4,Manual,1.5,Sedán,Lanús - Bs.As. G.B.A. Sur,1.5
5580000,Fiat,Mobi,1.0 Trekking,2025,500,Negro,Nafta,5,Manual,1.0,Hatchback,Junín - Mendoza,1.0
4960000,Fiat,Cronos,1.3 Gse Drive Pack Conectividad,2025,500,Blanco,Nafta,4,Manual,1.3,Sedán,Berazategui - Bs.As. G.B.A. Sur,1.3
3720000,Fiat,Cronos,1.3 Gse Like,2025,500,Gris,Nafta,4,Manual,1.3,Sedán,Capital Federal - Capital Federal,1.3
10044000,Fiat,FASTBACK,1.3 T270 At6,2025,500,Negro,Nafta,5,Automática,1.3,SUV,Miramar - Bs.As. Costa Atlántica,1.3
8680000,Fiat,Cronos,1.3 Gse Drive Pack Plus Cvt,2025,500,Blanco,Nafta,4,Automática,1.3,Sedán,Godoy Cruz - Mendoza,1.3
8060000,Fiat,Pulse,1.3 Gse Drive Mt,2025,500,Azul,Nafta,5,Manual,1.3,SUV,Córdoba - Córdoba,1.3
9920000,Fiat,Fiorino,1.4 Endurance,2024,500,Blanco,Nafta,3,Manual,1.4,Furgón,Lanús - Bs.As. G.B.A. Sur,1.4
14880000,Fiat,Toro,1.3 T270 Freedom 4X2,2025,500,Rojo,Nafta,4,Automática,1.3,Pick-Up,Vicente López - Bs.As. G.B.A. Norte,1.3
49900000,Volkswagen,Amarok,3.0 V6 Cd Highline,2023,48100,Blanco,Diésel,4,Automática,3.0,Pick-Up,Pilar - Bs.As. G.B.A. Norte,3.0
11989900,Toyota,Yaris,1.5 107cv S,2019,49000,Rojo,Nafta,5,Manual,1.5,Hatchback,Capital Federal - Capital Federal,1.5
36000000,Toyota,Corolla,2.0 Xei Cvt 170cv,2024,13747,Rojo,Nafta,4,Automática,2.0,Sedán,Capital Federal - Capital Federal,2.0
23989900,Toyota,Yaris,1.5 107cv S,2019,50000,Rojo,Nafta,5,Manual,1.5,Hatchback,Capital Federal - Capital Federal,1.5
16500000,Peugeot,208,1.6 Gt Thp,2017,100363,Gris,Nafta,5,Manual,1.6,Hatchback,Capital Federal - Capital Federal,1.6
11128000,Toyota,Yaris,1.5 107cv,2017,89000,Negro,Nafta,5,Automática,1.5,Hatchback,Capital Federal - Capital Federal,1.5
18476000,Chevrolet,Tracker,1.8 Ltz+ Awd At 140cv,2014,123000,Plateado,Nafta,5,Automática,1.8,SUV,Malvinas Argentinas - Bs.As. G.B.A. Norte,1.8
35836000,Kia,Carnival,2.2 Crdi,2016,182974,Blanco,Diésel,5,Automática,2.2,Monovolumen,Vicente López - Bs.As. G.B.A. Norte,2.2
15989900,Peugeot,Partner Patagónica,1.6 Hdi,2014,144000,Blanco,Diésel,4,Manual,1.6,Monovolumen,Capital Federal - Capital Federal,1.6
12989900,Peugeot,408,1.6 Allure Hdi 115cv,2013,148000,Gris,Diésel,4,Manual,1.6,Sedán,Capital Federal - Capital Federal,1.6
25900000,Volkswagen,T-Cross,1.6 Highline At,2020,109200,Negro,Nafta,5,Automática,1.6,SUV,Pilar - Bs.As. G.B.A. Norte,1.6
15498900,Jeep,Compass,2.4 Longitude,2018,79000,Azul,Nafta,5,Automática,2.4,SUV,Capital Federal - Capital Federal,2.4
17989900,Ford,Focus III,1.6 Sedan S,2019,87000,Blanco,Nafta,4,Manual,1.6,Sedán,Capital Federal - Capital Federal,1.6
13489900,Ford,Fiesta Kinetic,1.6 Se Plus 120cv,2014,123000,Blanco,Nafta,5,Manual,1.6,Hatchback,Capital Federal - Capital Federal,1.6
17989900,Citroën,C4 Cactus,1.2 Puretech 110 At6 S&s Shine,2018,72000,Blanco,Nafta,5,Automática,1.2,SUV,Capital Federal - Capital Federal,1.2
38316000,Mini,Cooper S,2.0 F55 Chili 192cv,2016,63400,Blanco,Nafta,5,Manual,2.0,Hatchback,Capital Federal - Capital Federal,2.0
10425000,Fiat,Cronos,1.3 Gse Drive Pack Conectividad,2021,60000,Negro,Nafta,4,Manual,1.3,Sedán,Capital Federal - Capital Federal,1.3
7448990,Volkswagen,Gol Trend,1.6 Trendline 101cv,2021,95000,Blanco,Nafta,5,Manual,1.6,Hatchback,Capital Federal - Capital Federal,1.6
16989900,Volkswagen,Gol Trend,1.6 Trendline 101cv,2021,95000,Blanco,Nafta,5,Manual,1.6,Hatchback,Capital Federal - Capital Federal,1.6
16800000,Citroën,C4 Lounge,1.6 Thp 165 Feel Pack,2018,50561,Gris,Nafta,4,Manual,1.6,Sedán,Capital Federal - Capital Federal,1.6
40500000,Chevrolet,S10,2.8 High Country Cd Tdci 200cv Automática,2021,135014,Azul,Diésel,4,Automática,2.8,Pick-Up,Capital Federal - Capital Federal,2.8
34989900,Hyundai,H1,2.5 Full Premium 12 Pas At,2015,180000,Plateado,Diésel,4,Automática,2.5,Monovolumen,Capital Federal - Capital Federal,2.5
9298900,Chevrolet,Cruze,1.8 Lt Mt,2013,110000,Blanco,Nafta,5,Manual,1.8,Hatchback,Capital Federal - Capital Federal,1.8
10798900,Nissan,Versa,1.6 Sense,2021,38000,Gris,Nafta,4,Manual,1.6,Sedán,Capital Federal - Capital Federal,1.6
17608000,Renault,Duster,1.6 Ph2 4x2 Privilege 110cv,2016,82000,Gris,Nafta,5,Manual,1.6,SUV,Vicente López - Bs.As. G.B.A. Norte,1.6
21989900,Nissan,Versa,1.6 Sense,2021,38000,Gris,Nafta,4,Manual,1.6,Sedán,Capital Federal - Capital Federal,1.6
19716000,Renault,Sandero,1.6 16v Zen,2022,26000,Blanco,Nafta,5,Manual,1.6,Hatchback,Vicente López - Bs.As. G.B.A. Norte,1.6
29989900,Jeep,Compass,2.4 Longitude,2018,79000,Azul,Nafta,5,Automática,2.4,SUV,Capital Federal - Capital Federal,2.4
10168000,Fiat,Punto,1.4 Elx,2010,132000,Negro,Nafta,5,Manual,1.4,Hatchback,Vicente López - Bs.As. G.B.A. Norte,1.4
28892000,Chevrolet,Cruze 5,1.4 Lt At 5p,2022,22000,Azul,Nafta,5,Automática,1.4,Hatchback,Capital Federal - Capital Federal,1.4
19500000,Toyota,Etios,1.5 X 6mt My19,2023,40000,Blanco,Nafta,5,Manual,1.5,Hatchback,Capital Federal - Capital Federal,1.5
23436000,Jeep,Grand Cherokee,3.6 Limited 286hp Atx,2012,198600,Negro,Nafta,5,Automática,3.6,SUV,Capital Federal - Capital Federal,3.6
36580000,Audi,Q5,2.0 TFSI Quattro Blindado RB3,2014,140000,Blanco,Nafta,5,Automática,2.0,SUV,Capital Federal - Capital Federal,2.0
19300000,Ford,Ecosport,1.5 Freestyle 123cv 4x2,2018,148000,Blanco,Nafta,5,Manual,1.5,SUV,Lomas De Zamora - Bs.As. G.B.A. Sur,1.5
32116000,Toyota,Corolla,1.8 Hev Seg Ecvt,2021,52030,Azul,Híbrido/Nafta,4,Automática,1.8,Sedán,Pilar - Bs.As. G.B.A. Norte,1.8
14880000,Honda,Fit,1.5 Ex-l At 120cv l12,2012,164600,Gris,Nafta,5,Automática,1.5,Hatchback,Pilar - Bs.As. G.B.A. Norte,1.5
58500000,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,2024,10000,Blanco,Nafta,5,Automática,2.0,SUV,Lomas De Zamora - Bs.As. G.B.A. Sur,2.0
19716000,Toyota,Etios,1.5 Xls,2017,33500,Negro,Nafta,5,Manual,1.5,Hatchback,Capital Federal - Capital Federal,1.5
21000000,Peugeot,408,1.6 Feline Hdi 115cv,2022,65600,Blanco,Diésel,4,Manual,1.6,Sedán,San Fernando - Bs.As. G.B.A. Norte,1.6
15550000,Citroën,C4 Lounge,1.6 Thp 165 At6 Feel,2017,101000,Gris,Nafta,4,Automática,1.6,Sedán,Berazategui - Bs.As. G.B.A. Sur,1.6
14200000,Renault,Sandero,1.6 Privilege 105cv Nac,2017,75000,Negro,Nafta,5,Manual,1.6,Hatchback,San Fernando - Bs.As. G.B.A. Norte,1.6
19900000,Ford,Ecosport,1.5 Titanium 123cv 4x2 Manual,2019,74800,Negro,Nafta,5,Manual,1.5,SUV,Capital Federal - Capital Federal,1.5
16900000,Peugeot,208,1.6 Feline,2020,67184,Gris,Nafta,5,Manual,1.6,Hatchback,Capital Federal - Capital Federal,1.6
11408000,Ford,Ecosport,2.0 Xlt Plus 4x2,2009,148000,Gris,Nafta,5,Manual,2.0,SUV,Vicente López - Bs.As. G.B.A. Norte,2.0
16200000,Citroën,C3,1.6 Vti Infinit,2018,79000,Plateado,Nafta,5,Manual,1.6,Hatchback,San Fernando - Bs.As. G.B.A. Norte,1.6
15500000,Ford,Focus III,2.0 Se Plus At6,2014,115000,Gris,Nafta,5,Automática,2.0,Hatchback,Vicente López - Bs.As. G.B.A. Norte,2.0
20460000,Chevrolet,Cruze II,1.4 Lt 153cv,2017,68000,Blanco,Nafta,5,Manual,1.4,Hatchback,Capital Federal - Capital Federal,1.4
13516000,Volkswagen,Crossfox,1.6 Trendline,2012,122000,Negro,Nafta,5,Manual,1.6,Hatchback,Capital Federal - Capital Federal,1.6
10540000,Citroën,C4,2.0 Sx Am73,2012,125000,Blanco,Nafta,5,Manual,2.0,Hatchback,Vicente López - Bs.As. G.B.A. Norte,2.0
13640000,Fiat,Idea,1.6 Adventure 115cv C/pack Top,2014,112000,Marrón,Nafta,5,Manual,1.6,Monovolumen,Capital Federal - Capital Federal,1.6
29760000,Ford,Mondeo,2.0 Sel,2020,50000,Plateado,Nafta,4,Automática,2.0,Sedán,Berazategui - Bs.As. G.B.A. Sur,2.0
4836000,Fiat,Mobi,1.0 Trekking,2025,500,Blanco,Nafta,5,Manual,1.0,Hatchback,Capital Federal - Capital Federal,1.0
16368000,Fiat,FASTBACK,1.3 Abarth T270 At6,2025,509,Blanco,Nafta,5,Automática,1.3,SUV,Tigre - Bs.As. G.B.A. Norte,1.3
5208000,Fiat,Cronos,1.3 Gse Drive Pack Plus,2025,535,Negro,Nafta,4,Manual,1.3,Sedán,Lanús - Bs.As. G.B.A. Sur,1.3
4092000,Fiat,Mobi,1.0 Trekking,2025,538,Blanco,Nafta,5,Manual,1.0,Hatchback,José C. Paz - Bs.As. G.B.A. Norte,1.0
33999900,Toyota,Corolla Cross,2.0 Xei Cvt,2021,57000,Gris,Nafta,5,Automática,2.0,SUV,Capital Federal - Capital Federal,2.0
10199000,Renault,Sandero Stepway,1.6 Confort 105cv,2010,122000,Gris,Nafta,5,Manual,1.6,Hatchback,Capital Federal - Capital Federal,1.6
18972000,D.S.,DS3,1.2 Puretech 110 At6 So Chic,2018,55000,Blanco,Nafta,3,Automática,1.2,Hatchback,Vicente López - Bs.As. G.B.A. Norte,1.2
39680000,BMW,X1,2.0 Xdrive 25i Xline 231cv,2018,148000,Negro,Nafta,5,Automática,2.0,SUV,Caseros - Santa Fe,2.0
43398760,Mercedes-Benz,Clase A,2.0 A250 At Sport 218cv,2017,84200,Gris,Nafta,5,Automática,2.0,Hatchback,Vicente López - Bs.As. G.B.A. Norte,2.0
8928000,Fiat,Cronos,1.3 Gse Precision Cvt,2025,500,Negro,Nafta,4,Automática,1.3,Sedán,Capital Federal - Capital Federal,1.3
14300000,Ford,Focus III,2.0 Se,2015,113900,Azul,Nafta,5,Manual,2.0,Hatchback,Almirante Brown - Bs.As. G.B.A. Sur,2.0
9180000,Peugeot,2008,1.6 Allure,2016,80000,Blanco,Nafta,5,Manual,1.6,SUV,Capital Federal - Capital Federal,1.6
21390900,Volkswagen,Gol Trend,1.6 Trendline 101Cv At,2021,30000,Plateado,Nafta,5,Automática,1.6,Hatchback,Capital Federal - Capital Federal,1.6
25420000,Ford,Ecosport,2.0 Gdi Storm 170Cv 4X4,2019,89000,Azul,Nafta,5,Automática,2.0,SUV,Berazategui - Bs.As. G.B.A. Sur,2.0
15000000,Chevrolet,Tracker,1.8 Ltz+ Awd At 140cv,2014,142634,Plateado,Nafta,5,Automática,1.8,SUV,Capital Federal - Capital Federal,1.8
40000000,BMW,X1,2.0 Sdrive 20i Sportline 192cv,2017,82500,Negro,Nafta,5,Manual,2.0,SUV,Capital Federal - Capital Federal,2.0
34100000,Toyota,Corolla Cross,2.0 Xli Cvt,2022,49000,Rojo,Nafta,5,Automática,2.0,SUV,Castelar - Bs.As. G.B.A. Oeste,2.0
21000000,Renault,Sandero Stepway,1.6 16v Intense Cvt,2021,58172,Gris,Nafta,5,Automática,1.6,Hatchback,Capital Federal - Capital Federal,1.6
12900000,Peugeot,208,1.5 Allure Touchscreen,2014,110000,Rojo,Nafta,5,Manual,1.5,Hatchback,Beccar - Bs.As. G.B.A. Norte,1.5
17000000,Volkswagen,Suran,1.6 Trendline,2017,72822,Negro,Nafta,5,Manual,1.6,Monovolumen,Pilar - Bs.As. G.B.A. Norte,1.6
20460000,Citroën,C4 Lounge,1.6 Vti 115 Live,2021,41000,Blanco,Nafta,4,Manual,1.6,Sedán,San Isidro - Bs.As. G.B.A. Norte,1.6
24676000,Peugeot,208,1.6 Gti,2018,58000,Blanco,Nafta,3,Manual,1.6,Hatchback,Vicente López - Bs.As. G.B.A. Norte,1.6
30380000,Chevrolet,Cruze 5,1.4 Premier  At 5P,2021,55000,Blanco,Nafta,5,Automática,1.4,Hatchback,Capital Federal - Capital Federal,1.4
13020000,Renault,Clio,1.2 Mio Confort Plus Abs Abcp,2015,98700,Plateado,Nafta,5,Manual,1.2,Hatchback,Capital Federal - Capital Federal,1.2
22500000,Chevrolet,Cruze,1.8 Ltz At 141cv,2018,100400,Gris,Nafta,4,Automática,1.8,Sedán,Pilar - Bs.As. G.B.A. Norte,1.8
18000000,Volkswagen,The Beetle,1.4 Tsi Design,2016,151300,Negro,Nafta,3,Manual,1.4,Hatchback,Pilar - Bs.As. G.B.A. Norte,1.4
21000000,Renault,Sandero Stepway,1.6 16v Intense Cvt,2021,58172,Plateado,Nafta,5,Automática,1.6,Hatchback,Capital Federal - Capital Federal,1.6
22320000,Fiat,Toro,1.3 T270 Volcano 4X2 At,2025,500,Blanco,Nafta,4,Automática,1.3,Pick-Up,Zelaya - Bs.As. G.B.A. Norte,1.3
14012000,Peugeot,208,1.5 Active,2016,89000,Gris,Nafta,5,Manual,1.5,Hatchback,Vicente López - Bs.As. G.B.A. Norte,1.5
31000000,Volkswagen,New Beetle,1.8 Turbo Sport cabrio cabriolet,2012,45000,Blanco,Nafta,3,Manual,1800 turbo,Cabriolet,Pilar - Bs.As. G.B.A. Norte,1800
15996000,Volkswagen,Up!,1.0 High Up! 75cv,2017,89000,Blanco,Nafta,3,Manual,1.0,Hatchback,San Isidro - Bs.As. G.B.A. Norte,1.0
31999999,Toyota,Corolla,2.0 Seg Cvt 170cv,2021,61000,Plateado,Nafta,4,Automática,2.0,Sedán,Castelar - Bs.As. G.B.A. Oeste,2.0
21700000,Volkswagen,Virtus,1.6 Msi Trendline At,2019,60000,Gris,Nafta,4,Automática,1.6,Sedán,Vicente López - Bs.As. G.B.A. Norte,1.6
19716000,Toyota,Corolla,1.8 Xei Cvt 140cv,2015,180000,Rojo,Nafta,4,Automática,1.8,Sedán,Mar Del Plata - Bs.As. Costa Atlántica,1.8
18500000,Peugeot,208,1.6 Urban Tech,2019,100000,Plateado,Nafta,5,Manual,1.6,Hatchback,Capital Federal - Capital Federal,1.6
36332000,Hyundai,Tucson,1.6 Tgdi Tct,2018,84000,Naranja,Nafta,5,Automática,1.6,Hatchback,Mar Del Plata - Bs.As. Costa Atlántica,1.6
35960000,Volkswagen,The Beetle,2.0 Sport Dsg,2018,75000,Celeste,Nafta,3,Automática,2.0,Hatchback,Capital Federal - Capital Federal,2.0
54000000,Toyota,Hilux Pick-Up,2.8 Cd Srx 204Cv 4X4 At,2022,36000,Negro,Diésel,4,Automática,2.8,Pick-Up,Capital Federal - Capital Federal,2.8
10540000,Volkswagen,Golf,1.9 Tdi Advance,2009,167000,Gris,Diésel,5,Manual,1.9,Hatchback,Tigre - Bs.As. G.B.A. Norte,1.9
43400000,BMW,X1,2.0 Xdrive 25i Xline 231cv,2016,75000,Negro,Nafta,5,Automática,2.0,SUV,Vicente López - Bs.As. G.B.A. Norte,2.0
11160000,Fiat,Fiorino,1.4 Endurance,2024,500,Blanco,Nafta,3,Manual,1.4,Furgón,La Matanza - Bs.As. G.B.A. Oeste,1.4
13020000,Fiat,Toro,1.3 T270 Freedom 4X2,2025,500,Rojo,Nafta,4,Automática,1.3,Pick-Up,Escobar - Bs.As. G.B.A. Norte,1.3
30900000,Chevrolet,Cruze 5,1.4 Turbo Lt At  5P,2024,500,Negro,Nafta,5,Automática,1.4,Hatchback,Capital Federal - Capital Federal,1.4
58280000,Volkswagen,Tiguan Allspace,2.0 Tsi Life 4Motion Dsg,2023,71000,Gris,Nafta,5,Automática,2.0,SUV,Castelar - Bs.As. G.B.A. Oeste,2.0
19000000,Ford,Ecosport,1.5 Se 123cv 4x2 Automática,2018,78000,Naranja,Nafta,5,Automática,1.5,SUV,Lomas De Zamora - Bs.As. G.B.A. Sur,1.5
21080000,Fiat,Cronos,1.8 16v Precision,2022,20000,Blanco,Nafta,4,Manual,1.8,Sedán,Capital Federal - Capital Federal,1.8
30876000,Jeep,Compass,2.4 Sport,2018,31000,Gris,Nafta,5,Manual,2.4,SUV,Capital Federal - Capital Federal,2.4
16300000,Chevrolet,Captiva,2.4 Lt Mt Awd 167cv,2012,135000,Negro,Nafta,5,Manual,2.4,SUV,Capital Federal - Capital Federal,2.4
24900000,Kia,Sportage,2.0 Ex 154cv,2016,108500,Gris,Nafta,5,Manual,2.0,SUV,Capital Federal - Capital Federal,2.0
23699900,Renault,Stepway,1.6 Intens Cvt,2025,2300,Rojo,Nafta,5,Automática,1.6,Hatchback,Almirante Brown - Bs.As. G.B.A. Sur,1.6
15624000,Citroën,DS3,1.6 Vti 120 So Chic,2014,97000,Negro,Nafta,3,Manual,1.6,Hatchback,Capital Federal - Capital Federal,1.6
23560000,Kia,Soul,1.6 Ex Bc 132cv 6at,2016,67000,Amarillo,Nafta,5,Automática,1.6,SUV,Malvinas Argentinas - Bs.As. G.B.A. Norte,1.6
17500000,Renault,Sandero,1.6 Gt Line 105cv,2019,53000,Blanco,Nafta,5,Manual,1.6,Hatchback,San Isidro - Bs.As. G.B.A. Norte,1.6
13020000,Citroën,C4 Lounge,1.6 Tendence Hdi 115cv,2015,137000,Gris,Diésel,4,Manual,1.6,Sedán,Capital Federal - Capital Federal,1.6
12648000,Volkswagen,Gol Trend,1.6 Pack I 101cv 3p,2014,99000,Gris,Nafta,3,Manual,1.6,Hatchback,San Isidro - Bs.As. G.B.A. Norte,1.6
18200000,Volkswagen,The Beetle,1.4 Tsi Design,2016,152000,Negro,Nafta,3,Manual,1.4,Hatchback,Pilar - Bs.As. G.B.A. Norte,1.4
47000000,Volkswagen,Golf,2.0 Gti Tsi App Connect + Cuero,2020,69000,Blanco,Nafta,5,Automática,2.0,Hatchback,Pilar - Bs.As. G.B.A. Norte,2.0
17350000,Volkswagen,Gol Trend,1.6 Trendline 101cv,2020,38700,Blanco,Nafta,5,Manual,1.6,Hatchback,Capital Federal - Capital Federal,1.6
18360000,Peugeot,208,1.6 Feline,2020,59912,Marrón,Nafta,5,Manual,1.6,Hatchback,Capital Federal - Capital Federal,1.6
22400000,Peugeot,208,1.6 Active,2022,500,Gris,Nafta,5,Manual,1.6,Hatchback,Capital Federal - Capital Federal,1.6
19800000,Chevrolet,Spin,1.8 Lt 5as 105cv,2018,40130,Gris,Nafta,5,Manual,1.8,Monovolumen,Almirante Brown - Bs.As. G.B.A. Sur,1.8
46300000,Chevrolet,S10,2.8 High Country Cd Tdci 200cv Automática,2022,77732,Blanco,Diésel,4,Automática,2.8,Pick-Up,Almirante Brown - Bs.As. G.B.A. Sur,2.8
31500000,Volkswagen,Nivus,1.0 Tsi Tiptronic Hero,2022,20500,Rojo,Nafta,5,Automática,1.0,SUV,Capital Federal - Capital Federal,1.0
11036000,Renault,Sandero,1.6 Privilege Nav 105cv,2014,119000,Gris,Nafta,5,Manual,1.6,Hatchback,San Isidro - Bs.As. G.B.A. Norte,1.6
17360000,Toyota,Etios,1.5 Sedan Xls,2015,172000,Plateado,Nafta,4,Manual,1.5,Sedán,Capital Federal - Capital Federal,1.5
43398760,Volkswagen,Amarok,3.0 V6 Cd Highline,2020,110000,Plateado,Diésel,4,Automática,3.0,Pick-Up,Capital Federal - Capital Federal,3.0
21900000,Honda,HR-V,1.8 Lx 2wd Cvt,2017,120000,Plateado,Nafta,5,Automática,1.8,SUV,San Fernando - Bs.As. G.B.A. Norte,1.8
33108000,Toyota,Camry,3.5 V6 At,2015,137000,Plateado,Nafta,4,Automática,3.5,Sedán,Escobar - Bs.As. G.B.A. Norte,3.5
54560000,Kia,Sorento,2.2 Crdi Gt-line Ex 4x4,2018,77000,Blanco,Diésel,5,Automática,2.2,SUV,Malvinas Argentinas - Bs.As. G.B.A. Norte,2.2
18200000,Peugeot,208,1.6 Gt Thp,2019,44600,Rojo,Nafta,5,Manual,1.6,Hatchback,Almirante Brown - Bs.As. G.B.A. Sur,1.6
16864000,Volkswagen,Suran,1.6 Comfortline,2019,82000,Plateado,Nafta,5,Manual,1.6,Hatchback,Capital Federal - Capital Federal,1.6
4836000,Fiat,Mobi,1.0 Trekking,2025,500,Plateado,Nafta,5,Manual,1.0,Hatchback,Capital Federal - Capital Federal,1.0
8928000,Renault,Symbol,1.6 Connection,2011,104000,Dorado,Nafta,4,Manual,1.6,Sedán,Capital Federal - Capital Federal,1.6
14756000,Volkswagen,Voyage,1.6 Trenline 101cv,2017,120000,Blanco,Nafta,4,Manual,1.6,Sedán,Berazategui - Bs.As. G.B.A. Sur,1.6
36580000,Ford,Kuga,2.0 Titanium At Awd,2018,100000,Blanco,Nafta,5,Automática,2.0,SUV,San Isidro - Bs.As. G.B.A. Norte,2.0
43398760,BMW,Serie 2,2.0 220i Sport Line 184cv,2017,78100,Gris,Nafta,2,Automática,2.0,No disponible,Vicente López - Bs.As. G.B.A. Norte,2.0
24180000,Chevrolet,Onix,1.0 LT TURBO,2025,1000,Blanco,Nafta,5,Manual,1.0,Hatchback,Vicente López - Bs.As. G.B.A. Norte,1.0
16000000,Nissan,Frontier,2.8 D/c 4x4 Se,2006,260000,Gris,Diésel,4,Manual,2.8,Pick-Up,Capital Federal - Capital Federal,2.8
8390900,Fiat,Idea,1.4 Elx Mp3,2008,130000,Gris,Nafta,5,Manual,1.4,Monovolumen,Capital Federal - Capital Federal,1.4
20500000,Peugeot,308,1.6 Feline Thp 163cv Tiptronic,2017,19000,Plateado,Nafta,5,Automática,1.6,Hatchback,San Isidro - Bs.As. G.B.A. Norte,1.6
8000000,Peugeot,308,1.6 Active,2014,110000,Gris,Nafta,5,Manual,1.6,Hatchback,Capital Federal - Capital Federal,1.6
26000000,Renault,Kangoo,Ii Express Confort 1.5 Dci,2024,26600,Plateado,Diésel,3,Manual,1.5,Furgón,San Isidro - Bs.As. G.B.A. Norte,1.5
24500000,Toyota,Etios,1.5 Sedan Xls At,2022,37000,Gris,Nafta,4,Automática,1.5,Sedán,Capital Federal - Capital Federal,1.5
33356000,Ford,Kuga,2.0 Sel At 4X4,2017,100000,Plateado,Nafta,5,Automática,2.0,SUV,San Isidro - Bs.As. G.B.A. Norte,2.0
27900000,Volkswagen,T-Cross,1.6 Highline At,2019,100000,Blanco,Nafta,5,Automática,1.6,SUV,San Isidro - Bs.As. G.B.A. Norte,1.6
45260000,Volkswagen,Amarok,2.0 Cd Tdi 180cv 4x2 Highline Pack At,2023,40000,Azul,Diésel,4,Automática,2.0,Pick-Up,San Isidro - Bs.As. G.B.A. Norte,2.0
19000000,Chery,Tiggo 2,1.5 Luxury,2018,42000,Gris,Nafta,5,Manual,1.5,SUV,Tigre - Bs.As. G.B.A. Norte,1.5
9500000,Volkswagen,Voyage,1.6 101cv,2013,165000,Gris,Nafta,4,Manual,1.6,Sedán,Tigre - Bs.As. G.B.A. Norte,1.6
33000000,Nissan,Kicks,1.6 Advance Cvt,2023,10200,Gris,Nafta,5,Automática,1.6,SUV,Capital Federal - Capital Federal,1.6
14260000,Peugeot,208,ALLURE NAV 1.5,2016,97000,Rojo,Nafta,5,Manual,1.5,Hatchback,Vicente López - Bs.As. G.B.A. Norte,1.5
24000000,Toyota,Etios,1.5 Sedan Xls At,2023,18000,Gris,Nafta,4,Automática,1.5,Sedán,Lomas De Zamora - Bs.As. G.B.A. Sur,1.5
8200000,Chevrolet,Aveo G3,1.6 Ls,2012,160000,Azul,Nafta,4,Manual,1.6,Sedán,La Matanza - Bs.As. G.B.A. Oeste,1.6
